type,amount,oldbalanceOrg,newbalanceOrig,target
TRANSFER,2596.74,7141.77,2556.87,0
OTHER,4820.38,1433.19,5549.51,0
TRANSFER,4416.23,3655.76,653.08,0
TRANSFER,1305.96,7157.18,9143.07,0
CASH_IN,2266.5,4150.39,4017.2,0
TRANSFER,4887.42,1589.89,998.39,1
PAYMENT,1300.01,3382.69,9896.02,0
TRANSFER,932.16,8276.74,3297.05,0
CASH_IN,4975.01,4163.12,4917.61,0
TRANSFER,2965.91,678.86,8749.77,0
CASH_IN,2048.99,5676.75,5335.54,0
TRANSFER,2812.91,7068.39,3392.1,1
TRANSFER,4275.46,7081.73,2296.81,0
TRANSFER,1670.5,6484.08,758.97,0
PAYMENT,3585.06,4294.27,2021.67,0
PAYMENT,4038.08,8414.26,2132.14,0
OTHER,2559.92,1319.52,464.1,0
OTHER,1297.76,9648.91,5189.99,1
PAYMENT,3466.42,3761.58,9518.86,0
CASH_IN,1588.04,3383.52,7340.46,0
CASH_OUT,4506.37,8307.09,5816.71,0
PAYMENT,3305.21,9344.81,3932.59,0
PAYMENT,1135.44,910.88,6612.84,0
CASH_IN,984.52,3355.18,4386.92,0
TRANSFER,1690.0,5312.9,1218.02,0
CASH_OUT,2449.0,6614.23,3853.7,0
CASH_OUT,4751.08,7902.98,3564.96,0
TRANSFER,4668.81,2749.47,1997.34,1
TRANSFER,1640.91,226.7,7137.79,1
OTHER,1638.56,2872.98,3587.2,0
CASH_IN,1029.14,9604.78,3363.63,0
CASH_IN,4379.37,1931.07,1022.49,0
CASH_OUT,4115.14,2162.84,5331.18,0
PAYMENT,2518.15,7914.42,6172.02,0
PAYMENT,80.84,4787.87,5160.97,0
PAYMENT,2567.42,4760.75,3118.3,0
TRANSFER,1139.16,9553.18,2263.94,0
OTHER,906.61,6352.28,145.86,1
TRANSFER,2487.63,6729.77,6995.54,0
TRANSFER,3451.04,1091.55,1803.38,1
CASH_IN,3071.94,1562.46,2699.77,0
TRANSFER,3205.09,9640.74,2048.22,0
TRANSFER,4438.48,7338.74,9513.44,0
TRANSFER,4522.18,945.43,9982.57,0
TRANSFER,2745.94,6346.15,2918.33,1
TRANSFER,1672.34,6821.81,5798.6,0
OTHER,1439.04,6738.22,9698.61,0
CASH_OUT,1008.48,3305.08,5125.24,0
PAYMENT,1647.04,9878.97,8472.6,0
CASH_OUT,4237.17,4260.42,7595.84,0
CASH_IN,1294.68,775.61,8357.27,0
TRANSFER,705.38,1582.7,3754.73,0
CASH_OUT,270.18,2576.65,6745.59,0
TRANSFER,3901.54,5102.01,1670.92,0
CASH_IN,4833.79,4059.06,7402.55,1
TRANSFER,744.18,2244.07,3818.39,0
PAYMENT,4027.0,6563.99,3560.75,0
TRANSFER,4361.68,6787.22,7124.83,0
CASH_IN,2058.71,7193.19,6146.22,0
TRANSFER,83.31,7513.81,4354.11,0
CASH_IN,1231.21,3562.16,5472.97,0
CASH_IN,1140.84,8247.62,8386.58,0
CASH_OUT,4663.19,9835.23,9.96,0
CASH_IN,4356.05,865.18,5723.87,0
PAYMENT,3624.61,9577.25,9856.14,0
OTHER,4983.41,300.41,7179.3,0
CASH_OUT,555.75,4079.11,8910.47,1
CASH_OUT,1462.9,2568.51,6024.28,0
TRANSFER,2904.47,1348.58,796.16,1
CASH_OUT,2101.84,8150.62,6144.18,0
TRANSFER,65.33,6334.26,6246.61,0
CASH_IN,2242.13,2790.02,6444.08,0
PAYMENT,1339.64,9227.29,6624.81,0
CASH_IN,3738.77,7575.36,503.11,0
TRANSFER,1838.94,1650.36,9608.83,0
CASH_OUT,902.64,222.0,5810.29,0
CASH_OUT,3860.15,7452.38,4434.05,0
CASH_OUT,1889.54,3165.07,2605.62,0
OTHER,2397.67,7996.99,8099.75,0
OTHER,2007.77,5579.33,1841.0,1
OTHER,1257.34,4017.15,6527.69,0
OTHER,4184.47,4687.09,2295.67,0
TRANSFER,2204.75,803.0,1475.32,0
PAYMENT,3621.86,9502.62,9124.89,0
CASH_OUT,1374.65,1649.84,6385.25,0
TRANSFER,3049.27,778.79,6113.93,1
CASH_IN,3070.27,6176.29,1765.1,0
PAYMENT,4144.47,7274.06,6580.98,0
CASH_IN,801.08,8250.53,3855.99,1
OTHER,959.45,644.94,5426.06,0
TRANSFER,2838.4,5068.3,9124.79,1
CASH_IN,2170.14,6986.81,3434.62,0
OTHER,1779.98,5563.39,2965.36,0
CASH_IN,3622.46,616.2,9049.09,0
PAYMENT,2169.07,8980.92,6107.41,0
TRANSFER,208.96,3205.85,6949.53,0
TRANSFER,1563.18,8400.24,9563.29,0
OTHER,3151.28,3057.39,320.58,0
PAYMENT,538.71,9790.8,5311.67,1
PAYMENT,1961.39,82.64,1664.5,0
CASH_OUT,4390.3,9542.19,5842.76,0
PAYMENT,739.16,1506.54,4297.66,0
TRANSFER,1210.53,7219.28,4027.47,0
CASH_IN,3070.83,1764.95,480.4,0
CASH_IN,412.55,7130.4,2027.55,0
OTHER,699.19,1619.98,3618.4,0
CASH_IN,4881.75,9265.12,6208.28,0
OTHER,442.71,8884.91,5122.37,0
CASH_OUT,4608.45,7129.72,8112.84,0
PAYMENT,818.65,5154.72,6250.4,1
CASH_OUT,3730.11,8435.94,7837.11,0
PAYMENT,4298.96,4378.76,170.78,0
CASH_OUT,3647.16,6822.81,8288.9,0
TRANSFER,1787.1,8230.8,150.66,0
OTHER,1014.56,1400.9,11.4,0
CASH_OUT,969.38,2409.72,5389.85,0
TRANSFER,2818.93,8405.04,2332.08,0
OTHER,3332.48,9184.95,490.23,0
PAYMENT,313.48,6097.08,6457.59,0
CASH_IN,541.71,7815.77,7203.97,0
CASH_OUT,4006.42,1704.57,7392.22,0
TRANSFER,2476.22,3598.4,9221.89,0
TRANSFER,1652.81,6033.28,8774.08,1
OTHER,2599.42,7667.03,8779.11,0
TRANSFER,2302.79,5642.58,2266.7,0
TRANSFER,2845.49,3431.89,1589.21,0
CASH_IN,897.89,8208.38,7614.09,0
CASH_IN,4939.68,8907.95,3693.13,1
CASH_OUT,932.72,5800.32,8111.54,0
PAYMENT,4101.59,658.2,7874.1,0
OTHER,3241.69,8517.55,7767.32,0
PAYMENT,1817.0,4976.32,3816.15,0
PAYMENT,2971.28,5489.36,2134.16,1
TRANSFER,356.13,946.77,7347.71,0
CASH_OUT,2525.89,6030.26,4788.48,0
CASH_IN,319.71,977.24,2267.72,0
PAYMENT,4905.02,7505.88,7596.71,0
OTHER,2376.75,2021.22,870.38,0
CASH_OUT,4363.55,1124.49,2482.11,0
PAYMENT,1120.19,476.46,8134.95,0
PAYMENT,1596.39,9584.49,6334.9,0
TRANSFER,1087.38,5261.3,8850.06,0
CASH_IN,186.99,4391.03,2497.84,0
CASH_IN,2957.78,7341.8,7177.43,0
TRANSFER,1647.47,2355.8,767.85,0
CASH_OUT,716.97,370.44,9202.75,0
CASH_OUT,1359.53,2954.32,4948.34,0
OTHER,878.16,7789.13,2116.77,0
CASH_IN,2404.66,6061.09,3298.74,0
OTHER,3698.48,1015.03,5783.76,0
CASH_IN,3179.19,3165.63,115.04,0
CASH_IN,2725.88,7881.51,8882.89,0
TRANSFER,626.82,4815.04,9717.97,0
PAYMENT,4300.01,5347.69,8620.1,1
PAYMENT,4813.5,6473.03,5272.0,0
CASH_IN,4144.6,8155.23,3695.09,1
CASH_IN,3448.41,3839.95,7433.47,1
TRANSFER,2242.03,6140.44,7069.2,0
PAYMENT,1052.37,845.31,8416.11,0
OTHER,4973.21,8325.38,1696.86,0
CASH_OUT,2571.13,8694.01,5014.8,0
PAYMENT,760.59,1490.03,8119.59,0
PAYMENT,691.9,1654.25,540.33,0
TRANSFER,1122.36,3291.51,1102.75,0
TRANSFER,2649.53,9240.42,9249.32,0
CASH_IN,1386.5,7643.63,1923.97,0
CASH_OUT,835.86,9350.06,299.67,0
CASH_IN,4274.82,3784.85,1046.65,0
PAYMENT,2416.52,2686.57,4680.74,0
PAYMENT,4308.99,5777.06,7021.0,0
CASH_OUT,3749.25,5445.21,3836.16,0
CASH_IN,2517.44,6171.39,20.63,1
PAYMENT,1243.02,4214.69,9398.84,0
CASH_IN,21.95,7713.86,244.38,0
TRANSFER,2224.66,297.43,2792.34,0
TRANSFER,1568.36,9984.27,8816.33,0
OTHER,339.68,9448.21,6135.57,0
CASH_IN,2515.7,2950.28,7611.98,0
OTHER,2774.38,7068.98,840.4,0
OTHER,3553.32,2777.42,7885.4,0
PAYMENT,2223.2,1707.95,2752.26,0
TRANSFER,4892.69,8019.61,5050.29,0
OTHER,2291.24,8966.38,6574.09,0
TRANSFER,1249.38,3233.84,3439.92,1
CASH_IN,2364.69,6288.83,5994.31,0
PAYMENT,4112.68,4615.8,7921.41,0
CASH_IN,459.16,3217.08,233.12,0
CASH_IN,2608.01,7300.87,8513.3,0
OTHER,4464.96,9869.48,4700.34,0
OTHER,4504.94,9629.85,4602.78,0
OTHER,2460.8,6864.18,6121.76,0
CASH_OUT,94.47,57.6,9808.82,0
CASH_OUT,4061.96,5350.32,400.01,0
CASH_IN,164.68,1762.83,1177.93,0
CASH_OUT,2167.56,8995.04,5904.98,0
OTHER,4863.87,670.4,8858.18,0
PAYMENT,491.36,3107.19,9348.16,0
TRANSFER,221.55,5447.99,3842.8,0
TRANSFER,3380.81,2670.02,4136.5,0
TRANSFER,734.6,2158.7,1626.0,0
OTHER,297.19,3789.03,6666.79,0
PAYMENT,2097.35,5003.8,6196.04,0
OTHER,2968.5,3846.53,1234.04,0
OTHER,54.07,2080.59,2001.29,0
CASH_OUT,835.85,2638.76,4837.78,0
CASH_OUT,1994.14,3041.19,2591.19,0
TRANSFER,518.09,3737.02,9565.3,0
OTHER,3976.3,2187.32,4031.44,0
PAYMENT,247.69,1769.56,3741.3,0
OTHER,3969.95,1009.54,1379.82,0
CASH_OUT,1159.89,6247.09,111.15,0
CASH_IN,2297.11,6979.31,4646.65,0
OTHER,1316.71,4808.99,5560.03,0
TRANSFER,323.42,9512.6,256.13,0
OTHER,2606.7,6912.88,9962.57,0
PAYMENT,3929.76,9527.43,4759.21,0
TRANSFER,294.63,1197.07,4298.5,0
CASH_OUT,1867.79,5474.07,6733.92,0
TRANSFER,1034.69,1886.52,666.89,0
OTHER,2134.34,6383.34,7550.59,0
PAYMENT,713.02,3637.99,1029.02,0
CASH_OUT,1310.38,8986.69,9974.88,0
CASH_OUT,3233.62,3639.39,8910.81,0
OTHER,1256.03,9875.86,411.51,0
TRANSFER,2137.85,6065.51,1783.75,0
CASH_OUT,4208.15,5955.14,1588.74,0
PAYMENT,4364.05,5215.28,7201.38,0
CASH_OUT,4542.72,6542.64,6858.74,0
TRANSFER,3084.9,5021.43,2203.47,0
OTHER,4219.64,3158.12,7085.55,0
PAYMENT,2136.82,9045.58,9111.21,0
CASH_IN,1492.16,4857.37,8741.99,0
OTHER,1970.67,9562.58,4914.06,0
PAYMENT,420.72,8909.3,4347.56,0
CASH_OUT,2555.71,9408.77,4613.5,0
TRANSFER,4782.99,1634.45,4555.29,0
PAYMENT,4596.84,8820.11,6600.11,0
CASH_IN,3206.18,6107.52,1804.17,1
CASH_IN,1742.04,4825.07,9888.8,0
CASH_OUT,931.66,4763.09,2750.3,0
TRANSFER,3023.71,4113.03,5501.32,0
CASH_OUT,4637.89,4589.13,9416.62,0
CASH_IN,4399.42,8701.05,2030.84,0
PAYMENT,1546.96,6499.64,377.72,0
PAYMENT,4639.92,2834.08,4366.06,0
CASH_IN,3258.02,3300.41,2339.86,0
PAYMENT,4668.14,6490.59,6616.84,0
CASH_IN,243.27,2148.29,146.27,1
OTHER,955.67,3242.36,8791.26,1
CASH_IN,514.94,3517.76,7396.27,0
CASH_IN,1722.64,8021.22,6924.92,0
CASH_OUT,170.21,8723.6,8004.74,0
CASH_IN,2838.11,1972.53,2533.66,0
TRANSFER,3168.79,916.2,3694.73,0
CASH_OUT,1766.26,1611.15,772.01,0
PAYMENT,4329.49,9986.42,2058.77,0
TRANSFER,2596.48,3522.08,5321.55,0
PAYMENT,1390.42,630.14,5396.03,0
OTHER,514.51,7163.36,2556.36,0
TRANSFER,2135.16,1178.23,8439.55,0
TRANSFER,1797.02,5636.81,7277.1,0
OTHER,485.5,2357.03,1103.95,0
CASH_IN,3467.0,3291.16,5072.37,0
PAYMENT,4943.05,7323.67,6963.07,0
TRANSFER,3063.86,9828.43,8513.68,0
OTHER,3042.01,6219.66,1251.65,0
CASH_OUT,3972.28,1705.06,9231.74,0
TRANSFER,2177.98,4761.89,8497.1,0
PAYMENT,3771.98,5443.47,372.24,0
OTHER,3220.02,4265.56,3846.89,0
OTHER,3427.58,5423.38,3640.62,0
TRANSFER,1026.5,7579.97,6011.62,0
TRANSFER,3330.24,9345.56,3830.28,0
CASH_IN,1962.15,4383.0,9890.05,0
TRANSFER,960.94,3692.32,2026.18,0
OTHER,4355.84,4429.6,9840.01,1
CASH_OUT,1837.92,1933.8,5082.22,0
PAYMENT,2446.95,9506.24,7984.66,0
TRANSFER,1317.3,9645.59,5492.1,0
PAYMENT,4737.73,5990.01,5893.11,0
CASH_IN,2067.9,8535.13,3697.72,0
TRANSFER,3508.86,7804.85,3965.84,0
CASH_IN,2472.52,1446.51,9492.21,0
CASH_IN,2747.95,5173.49,2330.89,0
CASH_IN,4432.78,6956.0,1728.49,0
OTHER,3941.02,1736.78,2384.08,0
TRANSFER,1455.5,6401.11,9208.84,0
CASH_OUT,4665.55,5463.77,6614.13,0
CASH_IN,2122.39,8926.72,9820.29,0
TRANSFER,1389.95,7628.98,3788.25,0
TRANSFER,2048.98,7292.97,9172.91,0
OTHER,3719.44,1122.87,6446.43,0
CASH_IN,1437.74,7594.94,4490.36,0
OTHER,2360.47,4553.91,8049.91,0
CASH_IN,2990.53,2254.48,7815.06,0
CASH_OUT,2458.91,4293.58,8650.17,0
CASH_IN,1296.64,1003.27,3481.09,0
TRANSFER,63.96,6367.69,5063.58,0
TRANSFER,1353.66,9132.9,2651.46,0
CASH_OUT,1796.6,2248.3,7093.9,0
OTHER,2319.45,6760.4,2593.31,0
TRANSFER,4831.66,5401.71,5268.32,0
CASH_OUT,354.5,4015.08,70.91,0
OTHER,394.5,5892.38,865.65,1
CASH_OUT,3499.72,3617.27,8188.85,0
OTHER,3112.57,3930.42,255.89,0
OTHER,2609.36,7799.46,4326.63,0
CASH_OUT,856.9,1839.09,7871.41,0
PAYMENT,2554.85,0.76,2990.37,0
OTHER,892.74,7549.22,4718.62,0
OTHER,2364.05,9211.68,3466.28,0
CASH_OUT,4041.2,7509.73,3355.46,0
OTHER,4924.03,6178.04,8195.84,0
OTHER,180.79,7801.86,3916.89,0
OTHER,4740.13,4464.02,8850.26,1
TRANSFER,1057.15,5919.64,1330.27,0
TRANSFER,4999.43,1268.18,3093.69,0
CASH_OUT,4289.75,1938.43,1472.91,0
OTHER,2785.49,9384.05,5778.92,0
PAYMENT,3593.66,9938.37,9218.7,0
CASH_IN,4724.54,8055.29,5126.95,0
PAYMENT,4658.18,2564.27,1029.18,0
PAYMENT,1322.56,2563.37,7770.53,0
TRANSFER,1168.31,2660.88,6383.29,0
CASH_OUT,1567.72,2963.59,8299.11,1
PAYMENT,4171.71,3697.71,6300.21,0
CASH_IN,470.58,2495.21,4207.45,0
TRANSFER,930.25,7871.92,6926.27,0
PAYMENT,3317.58,1599.43,5874.82,0
CASH_IN,1166.78,6767.12,1926.88,0
CASH_IN,3443.36,4336.87,9022.18,0
PAYMENT,4681.64,9271.21,4613.92,1
CASH_OUT,2414.87,2964.31,2889.08,1
PAYMENT,725.6,6265.9,1966.22,0
TRANSFER,663.35,7698.92,8610.49,0
CASH_OUT,1330.57,9805.88,1261.8,0
CASH_OUT,2482.92,4234.86,5475.78,0
CASH_IN,640.61,4074.86,1293.45,0
TRANSFER,3846.25,3146.47,1046.3,0
PAYMENT,1002.19,8921.67,564.84,0
TRANSFER,2608.19,1840.43,5105.51,0
PAYMENT,3845.09,7421.51,6440.53,0
PAYMENT,2724.05,1291.08,4198.7,1
CASH_IN,1223.69,2105.79,4597.93,0
CASH_OUT,1058.6,502.33,823.42,0
CASH_OUT,1274.06,9208.05,8629.73,0
TRANSFER,4222.81,7281.78,4389.1,0
TRANSFER,2664.06,7926.65,404.19,0
CASH_OUT,299.36,3724.41,447.7,0
OTHER,2531.65,410.34,3630.58,0
CASH_OUT,2943.2,8673.19,6515.54,0
CASH_OUT,1014.57,9632.48,4885.04,1
CASH_IN,2634.01,3760.89,409.12,0
CASH_IN,1195.69,1992.85,3918.12,0
TRANSFER,1418.76,2020.35,4267.92,0
TRANSFER,4199.49,4785.64,625.2,0
CASH_IN,4023.13,3456.82,6544.53,0
CASH_OUT,4249.27,2816.23,2392.93,0
OTHER,3645.01,588.89,9832.11,0
OTHER,392.58,628.13,1869.61,0
OTHER,373.89,9971.79,9388.89,0
CASH_OUT,327.76,7083.57,2216.76,0
PAYMENT,327.63,2497.27,3974.86,0
OTHER,901.53,299.18,8400.33,0
CASH_IN,4655.01,7125.03,8339.82,0
OTHER,370.27,7282.35,7374.35,0
CASH_IN,4881.67,163.52,3497.51,0
TRANSFER,1661.26,9613.7,3063.5,0
CASH_OUT,1177.27,3531.31,2777.56,0
CASH_IN,4223.58,9129.79,5957.83,0
CASH_IN,819.56,2847.94,3338.45,0
PAYMENT,4000.5,8403.54,9930.25,0
TRANSFER,756.79,9040.93,2692.21,1
OTHER,2922.34,1356.6,7617.55,0
TRANSFER,611.58,3967.83,4390.39,0
TRANSFER,2982.92,9133.56,6120.79,0
TRANSFER,3399.11,2064.53,5221.39,0
OTHER,2477.83,1138.99,1936.27,1
PAYMENT,2666.1,1219.29,2915.42,0
CASH_IN,2571.34,492.43,5945.86,0
OTHER,4639.38,4386.7,8083.89,0
CASH_OUT,1356.13,2056.61,3323.43,0
OTHER,1863.26,4735.43,2835.29,0
OTHER,2562.49,6704.73,4314.32,0
PAYMENT,757.43,1636.08,4323.33,0
OTHER,1427.49,4391.65,8254.36,0
TRANSFER,4838.21,8302.8,9161.0,0
CASH_IN,4622.03,7008.98,4124.06,0
TRANSFER,2989.91,4012.54,9967.04,0
CASH_IN,1972.46,5271.76,8612.96,0
OTHER,2974.19,4874.15,2486.01,0
CASH_OUT,2483.29,4508.59,6890.79,0
PAYMENT,4615.38,9137.42,8324.45,0
PAYMENT,3582.55,1339.96,4276.09,0
PAYMENT,913.34,6957.0,7646.41,0
OTHER,1524.76,8441.83,1139.41,0
TRANSFER,2527.15,2300.84,2711.63,0
CASH_IN,827.34,1761.83,2677.28,0
TRANSFER,2844.56,7123.05,6225.04,0
CASH_OUT,3390.96,3842.59,9202.95,1
CASH_OUT,809.54,2847.29,1957.73,0
CASH_OUT,3655.1,9208.01,2368.22,0
TRANSFER,1442.91,2663.83,285.56,0
OTHER,4830.57,225.91,1130.36,0
OTHER,627.14,2423.18,6097.71,0
CASH_IN,4814.95,983.31,5629.9,0
CASH_OUT,2473.3,5105.47,5819.69,0
CASH_IN,998.2,9145.21,3397.11,0
TRANSFER,462.92,1015.63,9299.93,0
OTHER,4551.96,8347.25,4732.24,0
CASH_IN,237.39,6662.97,2157.11,0
PAYMENT,3063.75,7173.43,8231.24,0
TRANSFER,1875.06,4990.6,3959.15,0
CASH_IN,620.35,4829.7,2906.95,0
CASH_IN,1912.47,7669.23,5600.11,0
CASH_OUT,3949.9,4761.49,6188.74,0
CASH_OUT,3731.29,484.29,2679.64,0
CASH_OUT,304.2,4596.19,322.28,0
TRANSFER,3377.51,3579.97,8914.33,1
PAYMENT,3717.3,6546.36,3664.46,0
PAYMENT,616.1,9215.02,6943.24,0
TRANSFER,1837.11,6839.74,783.2,0
TRANSFER,2456.15,4075.32,1458.54,0
CASH_OUT,4443.4,7693.19,1192.63,0
CASH_IN,88.84,655.47,3708.88,0
CASH_IN,979.1,4419.78,8820.1,0
PAYMENT,425.19,2140.58,4015.61,0
CASH_OUT,2804.57,7904.72,8541.1,0
CASH_IN,4729.69,2961.05,7597.55,0
TRANSFER,3655.13,1485.52,5466.0,0
TRANSFER,2415.28,26.0,292.51,0
CASH_IN,1493.32,4954.34,3046.85,0
OTHER,3757.57,5839.54,3206.48,0
CASH_IN,306.95,3449.44,1933.21,0
OTHER,330.63,5872.37,2880.94,0
PAYMENT,292.52,7754.07,1360.38,0
CASH_OUT,895.69,5944.07,7931.21,0
PAYMENT,4575.97,1405.16,7307.65,0
CASH_IN,4845.39,8402.47,5679.97,0
TRANSFER,1244.98,53.76,9175.75,0
CASH_OUT,3769.69,1932.15,1224.18,0
PAYMENT,2210.59,492.7,478.08,0
OTHER,210.1,3964.38,9129.59,0
CASH_IN,795.58,1214.28,4914.31,0
OTHER,1060.36,6608.98,7289.52,0
PAYMENT,81.73,5620.66,4059.95,0
TRANSFER,2155.39,382.97,9414.58,0
TRANSFER,47.99,1270.0,843.32,0
TRANSFER,1811.8,6213.37,9560.27,0
PAYMENT,3580.53,3866.55,5417.59,0
PAYMENT,4930.18,1985.56,3691.38,0
OTHER,2555.46,3196.33,8311.52,0
CASH_OUT,1674.57,6342.2,8256.2,0
CASH_OUT,221.26,8028.16,1070.38,0
CASH_IN,1868.63,2934.18,9653.6,0
PAYMENT,1763.83,2323.73,256.84,0
OTHER,81.21,7409.01,2990.91,0
TRANSFER,1529.95,9432.32,7520.92,0
CASH_OUT,2951.93,9527.15,1288.55,0
CASH_OUT,3810.87,3473.75,5892.48,0
TRANSFER,4150.73,3414.16,2465.69,0
CASH_OUT,294.28,1646.22,6482.52,0
PAYMENT,397.02,8830.7,1095.15,0
CASH_OUT,1126.1,1245.24,8289.94,0
CASH_OUT,265.74,6847.29,2630.64,0
OTHER,335.57,6808.08,7480.76,0
CASH_OUT,646.71,3817.34,4098.78,0
TRANSFER,1627.59,1918.94,5318.95,0
CASH_OUT,3002.2,6161.11,3216.39,0
OTHER,1765.0,1082.57,3863.66,0
CASH_OUT,4806.73,7456.13,2261.02,0
CASH_IN,756.77,4880.18,5008.1,0
CASH_OUT,2932.74,8810.22,2648.23,0
CASH_IN,2753.71,8739.74,1477.62,0
OTHER,1317.97,4908.3,3136.5,0
CASH_IN,4915.79,7864.5,8468.24,0
TRANSFER,4598.7,3022.5,4469.48,0
TRANSFER,4975.74,5603.39,8252.32,0
PAYMENT,1240.5,9959.8,6622.06,0
CASH_OUT,1892.49,4800.92,6346.58,0
PAYMENT,1537.95,442.57,2303.66,0
TRANSFER,2082.94,8900.74,7625.71,0
CASH_OUT,597.16,4299.84,6780.39,0
PAYMENT,183.6,7958.86,8951.78,0
TRANSFER,3741.65,3084.21,6144.34,0
CASH_IN,1355.18,7208.82,9431.36,0
PAYMENT,2942.46,6229.21,3226.42,0
PAYMENT,2593.45,616.96,1842.69,0
OTHER,2701.35,2362.53,3779.48,0
OTHER,197.66,1738.13,432.97,1
TRANSFER,416.53,5013.4,1766.21,0
PAYMENT,901.0,2033.31,3729.46,0
OTHER,1570.87,6173.55,8587.8,1
OTHER,1944.58,5387.06,7516.95,0
CASH_OUT,2241.02,5812.69,7066.11,0
TRANSFER,2647.82,8335.08,598.47,0
CASH_IN,522.87,6633.12,2045.4,0
OTHER,36.86,8603.7,4173.18,0
OTHER,3192.94,6309.33,1941.09,0
PAYMENT,2861.44,2606.91,8267.49,0
CASH_OUT,2509.37,240.43,690.9,0
OTHER,2484.24,4188.58,5979.87,0
OTHER,4930.8,8934.17,5302.32,0
PAYMENT,3899.68,1866.98,4902.42,0
PAYMENT,2659.3,9390.24,7287.26,0
CASH_IN,3742.35,5407.52,8671.48,0
OTHER,90.51,1392.34,8694.09,0
PAYMENT,3105.87,4895.0,886.51,0
CASH_OUT,2343.51,8649.2,8026.53,0
TRANSFER,4236.09,824.52,3435.16,0
CASH_OUT,4804.92,1936.14,4068.99,0
CASH_IN,4897.29,1552.06,2290.09,0
CASH_OUT,1527.77,3443.83,8378.15,0
CASH_IN,1838.52,8741.55,9764.91,0
CASH_IN,1915.01,4040.36,1513.81,0
TRANSFER,2830.91,6971.24,703.51,0
CASH_OUT,4319.42,5912.59,9375.13,0
CASH_OUT,4744.63,5472.47,1845.4,0
CASH_IN,1039.7,4832.38,5312.43,1
CASH_OUT,414.88,6259.2,7491.19,1
PAYMENT,4143.91,6060.35,8534.2,0
TRANSFER,918.43,7485.26,5396.29,0
CASH_IN,4168.49,77.53,2420.74,0
OTHER,851.76,2567.37,6772.24,0
CASH_IN,1270.75,5438.71,5302.95,1
CASH_OUT,1154.81,3516.06,7076.33,0
TRANSFER,2377.09,6363.31,8378.08,1
CASH_IN,3459.8,8954.39,2438.94,0
CASH_OUT,4102.06,1858.47,1864.64,0
CASH_IN,361.29,2200.4,8018.26,0
TRANSFER,723.55,3048.5,1392.25,0
OTHER,550.28,398.06,1576.03,0
OTHER,1046.02,9943.81,4280.46,0
OTHER,3327.39,8835.22,7851.41,0
CASH_OUT,3310.4,1790.41,9248.94,0
OTHER,3689.9,6174.79,1694.07,0
CASH_IN,2100.48,7956.61,2394.55,0
PAYMENT,4215.83,575.77,8012.6,0
PAYMENT,1766.41,1839.01,8604.59,0
CASH_IN,516.18,8590.82,1759.35,1
PAYMENT,3741.45,6996.19,4137.66,0
OTHER,556.49,885.52,179.52,0
CASH_OUT,121.81,4752.27,3658.55,0
CASH_OUT,1901.77,39.76,6591.18,0
PAYMENT,331.36,9201.19,7712.86,0
PAYMENT,2609.06,5520.22,8565.54,0
OTHER,4178.9,5952.81,4445.85,0
PAYMENT,1765.92,5062.93,1287.7,1
TRANSFER,1982.99,8256.79,5345.91,0
CASH_IN,2389.53,6330.79,4060.58,0
OTHER,508.43,1679.27,4946.98,0
TRANSFER,986.6,4356.99,2212.13,0
CASH_IN,902.9,8017.52,7531.07,0
OTHER,4342.28,6210.09,7218.51,0
OTHER,3778.81,9903.69,3634.68,0
OTHER,1607.04,2207.71,5803.05,0
OTHER,2624.24,4634.21,4584.95,0
CASH_IN,857.87,7963.42,8144.69,1
CASH_OUT,4138.72,8760.27,1614.84,0
PAYMENT,3991.33,5201.59,5276.08,0
TRANSFER,1100.48,1272.21,3129.54,0
PAYMENT,1182.86,981.93,3374.31,1
CASH_OUT,357.51,6209.69,9227.36,0
CASH_IN,4172.17,3804.23,4561.87,0
CASH_OUT,1013.73,2157.62,1081.57,0
TRANSFER,2532.55,4229.16,7949.26,1
TRANSFER,34.65,5541.19,4772.64,0
TRANSFER,66.9,2578.32,4718.27,0
TRANSFER,4622.64,6176.41,3368.04,0
OTHER,4496.29,3064.11,2479.08,1
CASH_IN,719.13,8321.22,9773.33,0
CASH_OUT,295.83,3088.2,7566.88,0
CASH_IN,259.22,6344.13,240.68,0
CASH_OUT,1029.88,9944.16,4013.68,0
TRANSFER,1026.54,634.22,5048.96,0
CASH_OUT,4827.94,2945.14,8223.76,0
OTHER,4831.5,3002.53,2125.21,0
CASH_OUT,4293.69,4870.2,8638.55,0
CASH_IN,2273.75,5347.31,3564.8,0
CASH_OUT,1904.5,5379.57,2088.05,0
CASH_OUT,2450.8,3105.68,3939.14,0
OTHER,4508.52,8793.75,1064.24,0
TRANSFER,2570.3,709.68,6397.94,1
CASH_IN,1296.34,2527.82,8751.29,0
CASH_OUT,3295.31,4155.69,2884.0,1
OTHER,975.37,7359.14,238.37,0
OTHER,4385.8,2983.54,8449.64,0
CASH_OUT,2815.12,1492.96,5867.35,0
CASH_IN,2202.68,6165.42,7957.37,0
CASH_OUT,1540.09,6942.26,4968.73,0
CASH_IN,3961.7,2182.41,7915.35,0
OTHER,3823.86,4090.11,3959.26,0
OTHER,601.17,9250.65,4092.59,1
CASH_OUT,1082.37,6678.59,3574.15,0
TRANSFER,3650.92,2672.59,7265.12,0
CASH_OUT,3886.56,5988.35,1286.93,0
CASH_OUT,3505.23,7306.93,5853.58,0
